CODI_CICLE_FORMATIU;NOM_CICLE_FORMATIU;CODI_ADAPTACIO_CURRICULAR;HORES_CICLE_FORMATIU;DATA_INICI_CICLE_FORMATIU;DATA_FI_CICLE_FORMATIU;CODI_MODUL;CODI_MODUL_INTERN;NOM_MODUL;HORES_MODUL;DATA_INICI_MODUL;DATA_FI_MODUL;CODI_CREDIT;CODI_CREDIT_INTERN;NOM_CREDIT;HORES_CREDIT;DATA_INICI_CREDIT;DATA_FI_CREDIT
CFPM    0101;Conducció d'activitats fisicoesportives en el medi natural;00;1400;01/09/96;;MP01;01;Desplaçament, estada i seguretat en el medi terrestre.;270;01/09/96;;C01;01;El medi natural;60;01/09/96;
CFPM    0101;Conducció d'activitats fisicoesportives en el medi natural;00;1400;01/09/96;;MP01;01;Desplaçament, estada i seguretat en el medi terrestre.;270;01/09/96;;C02;02;Conducció de grups i activitats en el medi natural;120;01/09/96;
CFPM    0101;Conducció d'activitats fisicoesportives en el medi natural;00;1400;01/09/96;;MP01;01;Desplaçament, estada i seguretat en el medi terrestre.;270;01/09/96;;C03;03;Seguretat i supervivència en muntanya;90;01/09/96;
CFPM    0101;Conducció d'activitats fisicoesportives en el medi natural;00;1400;01/09/96;;MP02;02;Conducció de grups en bicicletes;120;01/09/96;;C04;04;Conducció de grups en bicicletes;120;01/09/96;
CFPM    0101;Conducció d'activitats fisicoesportives en el medi natural;00;1400;01/09/96;;MP03;03;Conducció de grups a cavall i atencions equines bàsiques;180;01/09/96;;C05;05;Conducció de grups a cavall i atencions equines bàsiques;180;01/09/96;
CFPM    0101;Conducció d'activitats fisicoesportives en el medi natural;00;1400;01/09/96;;MP04;04;Administració, gestió i comercialització en la petita empresa;60;01/09/96;;C06;06;Administració, gestió i comercialització en la petita empresa;60;01/09/96;
CFPM    0101;Conducció d'activitats fisicoesportives en el medi natural;00;1400;01/09/96;;MP05;05;Fonaments biològics, salut i primers auxilis;60;01/09/96;;C07;07;Fonaments de l'activitat física;30;01/09/96;
CFPM    0101;Conducció d'activitats fisicoesportives en el medi natural;00;1400;01/09/96;;MP05;05;Fonaments biològics, salut i primers auxilis;60;01/09/96;;C08;08;Primers auxilis;30;01/09/96;
CFPM    0101;Conducció d'activitats fisicoesportives en el medi natural;00;1400;01/09/96;;MP06;06;Activitats físiques per a persones amb discapacitats;30;01/09/96;;C09;09;Activitats físiques per a persones amb discapacitats;30;01/09/96;
CFPM    0101;Conducció d'activitats fisicoesportives en el medi natural;00;1400;01/09/96;;MP07;07;Dinàmica de grups;60;01/09/96;;C10;10;Dinàmica de grups;60;01/09/96;
CFPM    0101;Conducció d'activitats fisicoesportives en el medi natural;00;1400;01/09/96;;MP08;08;Formació i orientació laboral;60;01/09/96;;C11;11;Formació i orientació laboral;60;01/09/96;
CFPM    0101;Conducció d'activitats fisicoesportives en el medi natural;00;1400;01/09/96;;MP09;09;Formació en centres de treball;410;01/09/96;;C12;12;Formació en centres de treball;410;01/09/96;
CFPM    0101;Conducció d'activitats fisicoesportives en el medi natural;00;1400;01/09/96;;;;;;;;C13;13;Síntesi;60;01/09/96;
CFPM    1201;Laboratori  d'imatge;00;1400;01/09/96;;MP01;01;Revelatge de suports fotosensibles;200;01/09/96;;C01;01;Revelatge de suports fotosensibles;200;01/09/96;
CFPM    1201;Laboratori  d'imatge;00;1400;01/09/96;;MP02;02;Positivació, ampliació i acabaments;200;01/09/96;;C02;02;Positivació, ampliació i acabaments;200;01/09/96;
CFPM    1201;Laboratori  d'imatge;00;1400;01/09/96;;MP03;03;Tractament d'imatges fotogràfiques per procediments digitals;210;01/09/96;;C03;03;Tractament d'imatges fotogràfiques per procediments digitals;210;01/09/96;
CFPM    1201;Laboratori  d'imatge;00;1400;01/09/96;;MP04;04;Administració, gestió i comercialització en la petita empresa;60;01/09/96;;C04;04;Administració, gestió i comercialització en la petita empresa;60;01/09/96;
CFPM    1201;Laboratori  d'imatge;00;1400;01/09/96;;MP05;05;Processos d'imatge fotogràfica;100;01/09/96;;C05;05;Processos d'imatge fotogràfica;100;01/09/96;
CFPM    1201;Laboratori  d'imatge;00;1400;01/09/96;;MP06;06;Formació i orientació laboral;60;01/09/96;;C06;06;Formació i orientació laboral;60;01/09/96;
CFPM    1201;Laboratori  d'imatge;00;1400;01/09/96;;MP07;07;Formació en centres de treball;410;01/09/96;;C07;07;Formació en centres de treball;410;01/09/96;
CFPM    1201;Laboratori  d'imatge;00;1400;01/09/96;;;;;;;;C08;08;Síntesi;60;01/09/96;
CFPM    1502;Operacions de procés de pasta i paper;00;1400;01/09/96;;MP01;01;Serveis auxiliars del procés químic;90;01/09/96;;C01;01;Serveis auxiliars del procés químic;90;01/09/96;
CFPM    1502;Operacions de procés de pasta i paper;00;1400;01/09/96;;MP02;02;Fabricació de pastes cel·lulòsiques;120;01/09/96;;C02;02;Fabricació de pastes cel·lulòsiques;120;01/09/96;
CFPM    1502;Operacions de procés de pasta i paper;00;1400;01/09/96;;MP03;03;Fabricació de paper cartró;180;01/09/96;;C03;03;Fabricació de paper cartró;180;01/09/96;
CFPM    1502;Operacions de procés de pasta i paper;00;1400;01/09/96;;MP04;04;Instrumentació i control de processos químics;150;01/09/96;;C04;04;Instrumentació i control de processos químics;150;01/09/96;
CFPM    1502;Operacions de procés de pasta i paper;00;1400;01/09/96;;MP05;05;Organització, seguretat i ambient químic;90;01/09/96;;C05;05;Organització, seguretat i ambient químic;90;01/09/96;
CFPM    1502;Operacions de procés de pasta i paper;00;1400;01/09/96;;MP06;06;Química aplicada;120;01/09/96;;C06;06;Química aplicada;120;01/09/96;
CFPM    1502;Operacions de procés de pasta i paper;00;1400;01/09/96;;MP07;07;Formació i orientació laboral;60;01/09/96;;C07;07;Formació i orientació laboral;60;01/09/96;
CFPM    1502;Operacions de procés de pasta i paper;00;1400;01/09/96;;MP08;08;Formació en centres de treball;440;01/09/96;;C08;08;Formació en centres de treball;440;01/09/96;
