CODI_CICLE_FORMATIU;NOM_CICLE_FORMATIU;CODI_ADAPTACIO_CURRICULAR;HORES_CICLE_FORMATIU;DATA_INICI_CICLE_FORMATIU;DATA_FI_CICLE_FORMATIU;CODI_MODUL;NOM_MODUL;DURADA_MIN_MODUL;DURADA_MAX_MODUL;DATA_INICI_MODUL;DATA_FI_MODUL;CODI_UNITAT_FORMATIVA;NOM_UNITAT_FORMATIVA;DURADA_UNITAT_FORMATIVA;INDICADOR_FCT;INDICADOR_SINTESIS;INDICADOR_IDIOMA;INDICADOR_PROJECTE
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10001;MP1. Tractament de textos;165;165;25/02/13;;AF1000101;UF1. Equips i programari de tractament de textos;15;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10001;MP1. Tractament de textos;165;165;25/02/13;;AF1000102;UF2. Digitalització de textos;50;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10001;MP1. Tractament de textos;165;165;25/02/13;;AF1000103;UF3. Tractament digital de textos;80;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10001;MP1. Tractament de textos;165;165;25/02/13;;AF1000104;UF4. Aplicació de normes de correcció;20;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10002;MP2. Tractament d'imatges en mapa de bits;231;264;01/03/13;;AF1000201;UF1. Classificació i preparació d'originals d'imatge;20;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10002;MP2. Tractament d'imatges en mapa de bits;231;264;01/03/13;;AF1000202;UF2. Obtenció d'imatges digitals;40;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10002;MP2. Tractament d'imatges en mapa de bits;231;264;01/03/13;;AF1000203;UF3. Ajust dimensional i tonal de les imatges;80;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10002;MP2. Tractament d'imatges en mapa de bits;231;264;01/03/13;;AF1000204;UF4. Realització de fotomuntatges;60;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10002;MP2. Tractament d'imatges en mapa de bits;231;264;01/03/13;;AF1000205;UF5. Obtenció de proves de color;31;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10003;MP3. Imposició i obtenció digital de la forma impressora;99;132;01/03/13;;AF1000301;UF1. Traçat i imposició digital;40;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10003;MP3. Imposició i obtenció digital de la forma impressora;99;132;01/03/13;;AF1000302;UF2. Obtenció digital de formes impressores;59;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10004;MP4. Impressió digital;132;165;01/03/13;;AF1000401;UF1. Tractament de la informació digital;25;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10004;MP4. Impressió digital;132;165;01/03/13;;AF1000402;UF2. Preparació de matèries primeres, consumibles i equips d'impressió digital;47;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10004;MP4. Impressió digital;132;165;01/03/13;;AF1000403;UF3. Impressió, acabats i manteniment preventiu amb dispositius digitals;60;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10005;MP5. Compaginació;165;165;01/03/13;;AF1000501;UF1. Elaboració de maquetes i fulls d'estil;25;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10005;MP5. Compaginació;165;165;01/03/13;;AF1000502;UF2. Compaginació de productes editorials;60;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10005;MP5. Compaginació;165;165;01/03/13;;AF1000503;UF3. Compaginació de productes extraeditorials;60;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10005;MP5. Compaginació;165;165;01/03/13;;AF1000504;UF4. Correcció de proves de compaginades;20;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10006;MP6. Il·lustració vectorial;99;99;01/03/13;;AF1000601;UF1. Imatges vectorials i retolació;40;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10006;MP6. Il·lustració vectorial;99;99;01/03/13;;AF1000602;UF2. Composició infogràfica i il·lustració;59;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10007;MP7. Identificació de materials en preimpressió;132;132;01/03/13;;AF1000701;UF1. Processos i productes gràfics;32;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10007;MP7. Identificació de materials en preimpressió;132;132;01/03/13;;AF1000702;UF2. Formes impressores i emulsions;20;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10007;MP7. Identificació de materials en preimpressió;132;132;01/03/13;;AF1000703;UF3. Suports d'impressió;60;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10007;MP7. Identificació de materials en preimpressió;132;132;01/03/13;;AF1000704;UF4. Tintes d'impressió;20;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10008;MP8. Realització de publicacions electròniques;165;198;01/03/13;;AF1000801;UF1. Preparació d'arxius de text, d'imatge, vídeo i so;15;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10008;MP8. Realització de publicacions electròniques;165;198;01/03/13;;AF1000802;UF2. Realització d'animacions;30;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10008;MP8. Realització de publicacions electròniques;165;198;01/03/13;;AF1000803;UF3. Creació i publicació de pàgines web;40;N;N;N;N
CFPM    AF10;Preimpressió digital;0;2000;25/02/13;;AF10008;MP8. Realització de publicacions electròniques;165;198;01/03/13;;AF1000804;UF4. Compaginació i publicació de llibres electrònics;60;N;N;N;N
